"room1","room2","code","room1.use","room1.area","room1.occupancy","room2.use","room2.area","room2.occupancy","ACPH.1.2","ACPH.2.1","air.volume.moved"
"P253","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P254","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P255","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P256","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P257","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P258","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P259","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P260","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P261","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P262","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P263","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P264","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P265","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P266","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P267","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P268","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P269","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P270","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P271","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P272","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P273","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P274","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P275","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P276","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P277","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P278","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P279","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P280","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P281","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P282","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P283","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P284","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P285","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P286","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P287","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
